time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-10 00:00:00+00:00,18,6,3,3
2026-04-11 00:00:00+00:00,29,11,1,1
2026-04-12 00:00:00+00:00,9,4,0,0
2026-04-13 00:00:00+00:00,18,8,0,0
2026-04-14 00:00:00+00:00,18,6,4,1
2026-04-15 00:00:00+00:00,8,3,0,0
2026-04-16 00:00:00+00:00,24,9,5,4
2026-04-17 00:00:00+00:00,15,5,0,0
2026-04-18 00:00:00+00:00,16,6,0,0
2026-04-19 00:00:00+00:00,31,11,0,0
2026-04-20 00:00:00+00:00,56,23,0,0
2026-04-21 00:00:00+00:00,39,21,0,0
2026-04-22 00:00:00+00:00,92,27,2,2
2026-04-23 00:00:00+00:00,69,24,1,1
